NAME,Revenue_2015 ,Revenue_2016,Revenue_2017,Revenue_2018,Revenue_2019,Employees_2017,Employees_2018,Employees_2019,Employees_2020,Revenue_2020(To predict)
DCOE,"4,325,671","14,877,672","2,756,739","206,895",76,,1209,1239,1236,
FJHK,,"22,500",61,,,,,1,,
WGTO,,"560,855","790,314","779,941",17,68,69,64,67,
UOLA,20,24,10,,,821,855,912,927,
XFSN,"125,283","33,225",6,,,,,1,,
VJTK,,"14,312",2,2,,,,,29,
AYSK,"234,173","14,076","5,790","8,800", -   ,135,136,130,,
UUJA, -   , -   , -   , -   , -   ,,154,160,167,
YGPD,"2,235,852","2,555,068","1,420,211", -   , -   ,,133,134,132,
RWAP,"263,076","356,138","610,016","99,364","-12,162",,,15,,
BOEQ,"723,189",,,,,,,18,,
GVEM,,,"1,666,920",,,,,10,,
NOAP,"39,240","95,285","389,690",,,,,24,30,
ZLUN,"115,113",,,,,,,7,,
NDHZ,"699,699","1,071,403","1,466,917","1,564,117",,,,14,,
PHKN,"2,020,047","2,256,066","1,792,688",,,,,13,,
GYGF,"13,364,068","15,898,795",,,,,,7,,
HMBG,,"13,456,751",,,,,,9,,
VGVL,,"11,305,993","9,872,095","17,883,628",,,,26,,
ZHLI,"9,200,563","10,107,030","5,549,973",,,,,,2,
SEDZ,"5,447,464","5,987,651","6,646,701","7,190,074",,,,17,,
VHVV,"6,109,993","5,317,696","6,748,408","6,654,964",,,,8,,
ZPQB,,"522,615","591,510","1,019,492",,,,26,,
HZZX,"1,038,024","1,235,805","868,529","1,284,459",,,,10,,
NXBF,"705,232","782,177","845,767",,,,,,14,
NBOF,"3,678,349","3,323,152","3,090,927",,,,32,38,38,
KCPK,"1,351,585","1,289,265","1,285,958",,,38,32,39,38,
NPNS,"1,881,896","1,694,391","1,807,475",,,,,,13,
HBWE,"1,472,939","1,621,555","1,738,268",,,,,1,,
RLHF,,"4,583,059","5,000,945",,,28,31,34,40,
SOWG,"858,933","791,265","815,203",,,,,,3,
UWXY,,"15,118,105","15,365,509",,,,,6,,
VVNJ,"1,284,673","1,404,234","1,719,946","2,359,262",,,,,22,
VQCB,"1,149,010","1,521,199","1,810,915","2,467,888",,,19,27,32,
XMHB,"8,721,251","13,243,358","9,502,914","10,259,761",,,,11,,
JYHS,"1,502,717","1,975,177","1,941,649","1,933,300",,,,27,,
QDUB,,"4,275,733","4,700,579",,,62,66,81,89,
ISBW,"1,851,363","1,995,762","3,224,737",,,,51,53,53,
FXJJ,"2,636,892","3,073,457","3,550,301",,,,,9,,
NYSB,,"5,186,193","5,023,514","5,518,615",,,,,27,
TZFZ,"749,501","914,634","1,326,549","1,205,007",,,,,18,
KOOB,"718,862","901,683","1,099,528",,,,,10,,
WQUZ,,"1,723,314","2,559,015",,,21,25,30,38,
JFFN,"3,525,198","4,028,202","3,448,245",,,31,33,38,40,
LBKS,"1,633,089","1,654,295","1,317,411","772,468",,,22,26,30,
YXRC,,"9,366,832","10,747,485","11,600,737",,54,53,54,63,
HOLA,"1,486,567","1,385,947","1,071,202",,,,,,18,
DOSE,"3,250,316","4,227,367","4,679,266",,,,,19,,
GMKJ,"4,246,575","4,562,211","4,773,983",,,,,10,,
ORUE,"695,687","968,387","1,366,334",,,27,28,35,36,
CBAV,"146,502","111,002","121,400",,,,,20,,
KFRE,"370,641","837,796","1,281,515",,,,,,6,
GDSK,"4,938,149","2,897,510","3,150,876",,,,,,11,
DJBJ,"781,492","5,523,150","9,089,959",,,,20,26,41,
RBPT,"572,637","1,099,921","2,073,182",,,,41,55,74,
CQGY,,"907,027","1,161,458",,,,,,8,
RTLV,"988,596","1,317,741","1,295,835","123,017",,,,,11,
CKTF,"864,303","998,645","1,116,748",,,,,,26,
VTGF,"245,638","526,753","519,643",,,,,17,,
JYTG,"814,881","1,113,235","1,516,091",,,,,,18,
KRIO,"1,000,273","1,204,843","1,593,518","3,371,869",,,,12,,
QBOW,"3,967,566","5,236,610","5,316,534","5,926,264",,44,46,54,57,
DHJL,"974,436","912,140","1,059,320","1,304,970",,,,,18,
DUJV,,"879,373","1,806,600","2,565,804",,,,,8,
CTCV,"365,303","481,005","782,422",,,,32,60,63,
PCTI,"434,626","370,780","383,734",,,,,8,,
IRAV,,"1,345,396","1,651,167",,,31,33,32,32,
RCSV,"228,195","703,109","1,009,567",,,,,,20,
TLOK,"572,195","1,019,881","1,257,707","1,251,893",,,42,42,42,
MJPK,"198,674","430,603","819,703","1,404,712",,,,11,,
PALK,"522,639","1,155,361","1,451,533",,,,,,15,
NMZV,,"259,629","427,297",,,,,16,,
QAFZ,,"152,558","683,515",,,18,23,30,,
JYGZ,,"216,741","172,732",,,,,12,,
SFUZ,, -   ,"8,468",,,,2,,,
COWD,"659,669","328,597","14,823",,,31,35,34,36,
IOZK,"13,538,013","36,279,723","64,519,509",,,33,32,42,,
AERD,"25,343","31,442","43,264","132,324",,,,1,,
WYFM,"3,348,245","2,051,607","2,355,710",,,,,26,,
FJER,"1,567,691","1,721,532","1,835,790",,,,,22,,
OQGZ,,"668,868","1,147,101",,,,,1,,
FSQS,, -   ,"14,433",,,,,4,,
OJWE,"538,358,501","447,406,247",,,,,,,123,
IENM,,"70,520,813",,"158,492,000","338,133,000",37,36,40,,
RFUQ,"45,824,000","408,723,000",,"282,287,000","322,586,000",,498,615,612,
MXYB,,"21,129,889",,"50,562,419","52,632,314",54,53,56,,
LIFR,"45,693,243","45,358,511",,,,149,166,143,155,
OXOY,"30,697,925","38,813,883",,,,329,407,429,,
BHIK,"34,237,829","38,085,452",,,,43,38,35,,
BMEF,,"33,350,821",,,,232,228,222,231,
RZMA,"32,719,656","32,360,307",,,,,120,140,150,
YLLY,"21,655,723","28,953,280",,"30,231,931","29,436,342",,104,106,103,
EERT,"22,319,355","25,397,452",,,,142,171,170,189,
SUPK,"7,737,849","11,158,022",,,"23,481,473",,,4,,
AQSM,"26,614,191","28,038,000",,,"20,915,180",427,434,386,,
EFMS,"23,005,506","20,712,258",,,,,225,233,246,
RYLJ,"14,518,020","20,681,853",,,,,924,1008,1052,
TLPS,,"20,615,528",,,,,,,17,
ZXAM,"17,517,659","17,740,001",,,,,,18,,
CCGT,"10,782,178","11,989,779",,"13,190,551","14,582,096",134,146,151,,
JJJO,"12,336,089","13,226,971",,"14,565,611",,116,117,134,137,
NGPU,"15,248,862","15,554,776",,,,,284,336,348,
GAST,"9,120,404","4,723,504",,"11,532,292","13,499,064",86,98,114,115,
YVWN,"7,445,089","8,871,484",,"11,312,696",,67,72,65,61,
JSEX,"11,815,260","12,093,463",,,,95,94,99,,
EKNV,"19,657,221","39,078,446",,"11,102,497",,,,28,,
XDCU,"1,827,783","2,394,008",,"8,174,013","11,104,627",,43,54,63,
FRIH,"4,906,879","8,275,597",,"7,611,739","10,509,640",,,18,,
BVSU,"16,846,906","11,107,273",,,,49,45,39,37,
GIEH,,"13,831,919",,"11,726,594","10,636,818",36,36,33,,
NRUV,"42,008","10,811,000",,,,,115,140,169,
RHAI,"14,641,782","10,288,710",,,,,45,50,52,
GPAD,"7,030,564","7,982,824",,"9,195,136",,,66,71,65,
LIYW,"7,576,967","9,821,768",,,,,37,41,41,
KPWD,"9,998,507","9,679,534",,,,,49,41,37,
JTRY,"12,730,877","12,624,799",,"13,561,205","8,812,564",,,,4,
PBXZ,"3,488,995","4,815,839",,"8,135,343",,,,3,,
BSWN,"7,007,060","8,021,403",,,,61,65,67,,
KJMT,"4,707,745","7,961,056",,,,,176,211,311,
BZNL,"4,945,110","5,771,084",,"8,048,024","7,271,381",,,8,,
CZNK,"7,212,016","7,676,416",,,,42,44,47,46,
IBVG,"1,970,503","2,520,509",,"5,002,031","7,092,868",24,34,43,,
CXAJ,"6,555,562","7,450,045",,,,,,2,,
TCBG,,"6,941,786",,,,73,100,110,115,
KZKS,"2,995,096","3,360,876",,"5,592,727","6,280,430",36,37,38,44,
KAHY,"2,286,022","3,532,197",,"4,779,051","6,220,673",,,,22,
PWUF,,"1,680,376",,,"5,725,146",,35,35,50,
UHUR,"1,178,008","4,264,996","5,326,648",,,,,5,,
TBFD,"1,272,036","5,612,899",,,,,74,78,67,
XQCI,"240,822","1,568,880",,"6,775,663","5,384,286",,,74,60,
LWDG,,"5,969,855",,"4,819,215",,67,74,81,,
DLZS,"870,780","1,911,645",,"3,525,695","4,871,325",,,,22,
AQND,"3,431,479","3,081,444",,"4,764,927","4,829,147",,,7,,
DKYK,"683,143","1,178,829",,"3,046,647","4,318,609",,,,18,
HJTU,"1,080,650","1,540,643",,"4,051,569",,,,10,,
CIQE,"1,831,330","2,182,953",,,"4,008,057",,,21,,
JWYU,"2,126,743","3,193,242",,,"3,673,564",,,9,,
NGIH,"3,785,786","3,883,095",,,,,,13,,
UXTL,"3,321,493","3,827,925",,,,,42,46,45,
OEGI,"2,078,191","4,536,714",,"3,463,969",,36,38,45,,
RDRZ,,"3,737,949",,,,,,17,,
YLPW,"2,402,153","3,734,230",,,,,,22,,
KLYY,"1,945,081","3,720,672",,,,,,,6,
RQHT,"1,689,119","3,365,117",,,,,,,13,
EGHX,,"3,557,803",,,,,71,80,89,
LUSZ,"2,382,959","3,381,099",,,,,101,121,117,
UGNQ,"1,395,658","1,535,860",,,"3,126,456",,,16,,
VKXH,"869,039","1,786,700",,"2,838,860",,,32,44,38,
ZRDJ,"1,853,113","2,801,651",,,,,,13,,
PUUC,"2,080,444","2,700,912",,,,,,15,,
GWDJ,"2,311,040","2,693,866",,,,,75,81,86,
IEMG,"3,196,914","2,507,523",,"2,363,946","2,513,505",389,378,334,342,
ESON,"2,548,365","2,664,322",,,,,,,3,
OWPY,"11,255","338,171",,"2,215,639","2,464,537",,,24,,
GYAB,"3,142,511","3,102,308",,"2,462,175","2,446,695",,,17,,
VPDH,"1,993,645","2,446,360",,,,,,,16,
GKEV,"1,647,386","2,174,165","1,467,195","2,250,000",,,,6,,
EHKU,"528,253","2,381,357",,,,,26,40,44,
PEMU,"797,484","905,526",,"2,014,654","2,224,975",,,6,,
ZCAM,,"2,346,450",,,,,,,8,
OKBS,,"2,293,734",,,,,214,220,186,
SWFP,"1,721,308","1,746,539",,"2,083,073",,,,9,,
BHOW,"4,262,115","3,121,681",,,"2,110,678",,,7,,
PUIG,,"2,189,575",,,,,,21,,
QNBK,,"2,187,542",,,,,35,41,50,
DWXR,,"297,633",,"1,230,364","2,007,308",,,,7,
LLBX,"2,601,316","2,135,776",,,,,,9,,
HXZG,"2,326,438","1,891,357","1,796,668",,,,,17,,
DUAC,"798,106","1,288,739",,"1,826,423",,,,28,,
MZYM,"1,561,437","1,622,775","1,700,730",,,27,31,32,30,
XIRG,"1,764,274","1,848,610",,,,,,11,,
JOZM,"1,234,246","1,744,385",,,,,,1,,
BCKV,"1,488,739","1,818,452",,,,,,8,,
LQWS,"1,447,670","1,800,536",,,,,,,8,
XUXB,,"1,768,420",,,,,,11,,
YXQB,"1,735,277","2,252,133",,,"1,569,892",,,22,,
XGTP,"1,212,188","1,623,134",,,,,,,25,
BTXT,"1,439,853","1,618,151",,,,,62,87,93,
GYLZ,,"1,615,036",,,,,49,68,88,
TUCH,"1,309,292","1,583,829",,,,,,16,,
CFKJ,"414,584","1,577,279",,,,,,101,100,
IPBY,"974,486","1,530,180",,,,,,,15,
HFNX,"1,186,342","1,464,037",,,,,,7,,
CLKJ,"1,313,971","1,413,498",,,,,,,4,
TRFB,"1,086,871","1,331,121",,,,,,15,,
TGPZ,,"866,205",,"1,347,535","1,350,107",,,,12,
IFLD,"878,239","1,037,353",,"1,386,220","1,294,666",,,18,,
NMEO,"1,740,269","1,329,394",,,,,,,15,
BMHV,,"1,320,458",,,,,,14,,
LSTB,,"1,319,676",,,,,53,53,57,
QDWH,"429,375","847,878",,"1,212,331",,,,25,,
OENS,,"1,083,275",,"1,517,483","1,548,048",,,24,,
HKNR,,"673,317",,"1,194,086",,,,,18,
BAQM,"1,038,239","1,293,447",,,,,,,16,
WZEI,"623,559","831,019",,"1,162,876","1,203,481",,,7,,
OMYR,,"1,018,830",,"1,078,266",,,,17,,
VWHP,"1,040,000","1,131,417",,,,,118,205,284,
QJRM,"2,631,082","1,060,436",,,,,82,111,102,
CESV,,"1,053,202",,,,,,,17,
RLTN,,"1,007,366",,,,,,,9,
XBNJ,"608,066","957,691",,,,,167,180,207,
AYLH,"893,721","955,547",,,,,,,17,
DRSP,,"926,005",,,,,,3,,
SPFC,"816,900","787,425",,"808,891","851,412",,,,13,
CSSI,"383,807","539,309",,"848,286","843,885",,,5,,
UBTQ,,"505,664",,"806,629","841,700",,,,2,
XRBD,"428,044","890,150",,,,,,10,,
JIZR,,"877,231",,,,,,26,,
ERWX,,"872,216",,,,,,,11,
QEQJ,"810,958","810,640",,,,,28,30,41,
KUCF,,"786,577",,,,,,5,,
CMHH,"2,430,777","776,888","689,075",,,,,3,,
VQRG,,"766,224",,,,,,7,,
WRRI,"2,348,467","672,185",,,,,,3,,
YUPK,"456,260","689,365",,,,,,,7,
QWUD,"793,417","669,273",,,,,,10,,
AJXX,"567,574","665,871",,,,,,,20,
RDFS,,"662,622",,,,,,3,,
QAOM,"1,321,198","848,616",,"593,462",,,,5,,
DWLE,"420,748","641,426",,,,,,12,,
RERM,"225,172","318,090","558,096",,,72,72,68,68,
QRUU,"70,118","295,816",,"565,897",,,,,11,
UBEZ,,"934,990",,"551,507",,,,,1,
GXLL,"317,371","607,096",,,,,,,13,
FSSA,"669,557","571,492",,,,,,1,,
JFRT,"599,517","532,478",,,,43,50,56,50,
VJQK,,"459,737",,"479,255",,,,,8,
JXDF,,"485,000",,,,,,7,,
ZNZO,"258,307","496,764",,,,,,,5,
ZENE,"720,906","493,332",,,,,,4,,
ZFAY,,"480,163",,,,29,50,93,121,
SMVD,"429,541","463,877",,,,,,5,,
ADTD,"128,529","290,038",,"500,149","429,334",,,,3,
HEJZ,"151,674","185,463",,"365,760",,,,,10,
HHAF,,"356,981",,,,,,11,,
OAGH,"359,341","352,608",,,,,,,9,
EMXA,"402,548","475,506",,"972,972","330,717",,,,19,
ROLL,"294,342","399,750",,"307,603",,,,2,,
EFCR,"324,033","327,968",,,,,,1,,
VXES,"146,147","326,254",,,,,,,12,
PQWG,,"324,554",,,,,,,22,
TOOJ,,"321,951",,,,,17,27,31,
ZMAO,"669,698","609,024",,,"296,928",,,3,,
DUTA,,"317,980",,,,,18,25,31,
OOFX,,"317,980",,,,,,18,,
JFZO, -   , -   ,,"284,402",,,617,673,697,
OAUR,"222,578","442,707",,"401,741","290,978",,62,77,70,
FEFP,,"306,568",,,,,,22,,
JRBS,,"286,278",,,,,34,69,86,
MZXS,"198,274","269,662",,,,,,16,,
GNCB,,"263,494",,,,,,1,,
WGGC,,"262,686",,,,,,11,,
NXPE,"363,177","259,601",,,,,,9,,
YGCO,"165,977","236,399",,,,,,,3,
SXDW,,"236,775",,,,,12,16,30,
MHZF,,"228,950",,,,,,,13,
XLPG,"189,472","227,213",,,,,,14,,
LSPU,"136,080","222,112",,,,,,4,,
ZFYT,"74,675","220,531",,,,,,,11,
RMXG,,"216,630",,,,,,3,,
ZRAQ,"97,203","216,000",,,,,,4,,
WJAN,"307,202","266,981",,,"191,578",,,2,,
DCWN,"26,270","176,966",,,,,,19,,
VWXL,"103,797","170,074",,,,,,1,,
SQGY,,"146,434",,,,,,,1,
HMUG,,"151,330",,,,,,23,,
SANR,"60,606","120,833",,,,,,1,,
TANQ,"76,197","120,569",,,,,,9,8,
MNAS,"150,921","161,754",,"203,915","111,512",,,2,,
QPVZ,,"116,566",,,,,,10,,
TWWG,,"3,237",,,"78,801",,,3,,
MOGK,"48,800","83,579",,,,,,4,,
WHYB,"26,931","77,403",,,,,,7,,
TJAD,"59,521","75,655",,,,,,7,,
UQEM,,"74,461",,,,,,,1,
IRED,"78,573","66,489",,,,429,446,456,478,
YMLI,"12,834","63,445",,,,,,,5,
JNXZ,,"62,361",,,,,,10,,
CPBZ,,"53,678",,,,,,2,,
NHOQ,,"51,570",,,,,,11,,
NTYR,"36,809","38,232",,,,,,11,,
WAIB, -   , -   ,,"16,205","34,223",,,,9,
VKEB,,"31,568",,,,,,2,,
JKNA,"166,348","680,309",,"25,262",,,,,2,
QGNC,"5,350","17,142",,"18,176",,,,2,,
KANQ,,"16,079",,,,,,14,,
KEDV,987,"14,900",,,,,,3,,
FPXG,,"6,283",,,,,,3,,
YXYR, -   ,"5,539",,,,,,,4,
UVAJ,"12,527","11,433",,"4,966","4,688",,,3,2,
OWAE,,"21,625",,366,"1,846",,,6,,
UQLB, -   , -   ,,, -   ,,,,15,
XXVZ,, -   ,,,,,,2,,
TOQF, -   , -   ,,,,,,,9,
GPEI,"1,436,227","1,397,080",,,,,,6,,
UTDJ,"3,764,787","5,235,823",,,,67,76,76,67,
VLSO,,"2,882,519",,,,,57,64,63,
CGNR,"2,350,205","2,742,280",,,,,,8,,
VTYJ,"6,236,242","6,537,102",,,,,72,85,93,
RZNB,"2,586,459","3,436,474",,,,,,22,,
PHZD,"1,758,481","2,691,740",,,,35,43,50,,
SJZP,"1,230,152","1,558,413",,,,,,,12,
BKXP,"3,561,640","4,154,981",,,,,55,62,64,
NEVI,"1,047,018","1,269,853",,,,,,,17,
BQMM,,"6,042,271",,,,,58,53,51,
JZGG,"938,237","1,138,162",,,,31,33,40,40,
MQQR,"481,879","1,152,166",,,,,36,44,45,
NCZA,"684,660","1,263,144",,,,,,9,,
XDNW,"1,796,054","2,331,277",,,,,,13,,
ZMGB,"1,011,832","741,774",,,,,,4,,
QENA,"6,239,929","6,777,492",,,,,,,3,
TDKA,"1,026,246","1,192,967",,,,,,14,,
IVTY,"4,626,588","5,127,134",,,,,48,51,51,
GNEQ,"5,076,691","6,085,551",,,,,,,29,
XZTO,"3,670,479","5,154,748",,,,,,16,,
AAWD,"3,922,659","3,255,927",,,,,,12,,
OLVC,"980,609","1,044,940",,,,,,13,,
NVKP,"512,745","852,434",,,,,,21,,
LQUV,,"922,163",,,,,,53,69,
JGZA,"484,412","1,092,807",,,,,,7,,
KJPI,"775,246","2,191,950",,,,,,34,32,
GLRF,"73,774","106,731",,,,,,8,,
QOCP,,"723,382",,,,,,11,,
XAQU,"1,168,793","2,044,797",,,,,36,41,48,
SSAK,"1,432,915","3,159,171",,,,,,,14,
WVVT,"1,438,687","873,270",,"1,776,492",,,,,15,
LKWV,"1,765,909","1,741,455",,"2,264,412",,,,,16,
ROBT,"1,310,057","2,190,329",,,,,,24,,
WPMR,"720,422","1,221,157",,,,,,,23,
TLMG,"847,144","2,200,291",,,,,32,34,34,
VIMJ,"9,789,210","2,609,970",,,,,,,21,
YXED,,"757,721",,,,,,,2,
MASF,,"190,347",,,,,,3,,
WKDY,,"858,777",,,,,,,26,
PQFA,"420,194","300,295",,,,,,28,,
UHRC,"285,670","859,760",,,,,,17,,
GAKN,,"171,893",,,,,,7,,
ZPPW,,"1,220,620",,,,32,33,42,47,
ZLEQ,"93,780","517,441",,,,,26,35,44,
BCSN,,"969,601",,,,21,29,34,34,
CNUE,"360,682","792,119",,,,,,,2,
XKNZ,,"802,731",,,,,,,4,
DXKI,"904,807","1,052,009",,"1,321,752",,32,34,39,45,
JQII,,"393,764",,,,,,,16,
LETO,"1,161,085","1,469,094",,"1,532,775",,,,,19,
KSPE,,"488,042",,,,,,,26,
RKYU,"29,763","212,011",,,,,23,35,41,
PHHF,,"264,149",,,,,,,9,
GRHG,,"373,091",,,,,,12,,
QZSF,"471,158","637,073",,,,,,9,,
GPHE,,"151,471",,"740,144",,,,,23,
ELMP,"284,307","271,130",,,,,,16,,
TYBZ,"2,000,906","2,411,381",,,,,,4,,
QJJI,"548,002","950,158",,,,,,,6,
VMXW,,"529,355",,,,,,7,,
AAOY,,"760,154",,,,,,,18,
MFMR, -   ,469,,,,,,9,,
IJRL,"1,499,205","2,589,070",,,,,31,30,30,
QXBL,"208,640","3,589,251",,,,,1174,1227,1213,
QYND,"451,735","580,418",,,,,,2,,
IBYU, -   ,"516,388",,,,,,13,12,
DAEU,"63,743,025","64,926,889","78,845,065","105,255,889","139,278,821",128,138,168,181,
YGKF,"87,080,000","92,164,000","103,092,000","119,043,000","133,891,000",546,549,552,,
UFKU,"187,255,572","318,131,316","438,911,730","258,135,999","129,959,641",,2045,1882,1866,
DUUV,"81,751,957","47,427,114","65,719,532","83,757,962","101,769,095",,295,289,264,
EUQA,"11,767,545","19,278,817","33,678,235","61,745,457","92,410,090",,75,85,84,
YGXM,"5,795,730","7,782,947","11,431,086","28,445,755","83,978,347",181,232,371,514,
DBHR,"32,706,111","43,307,197","62,004,600","77,890,657","65,291,260",,388,423,399,
VRLG,"13,839,939","23,806,555","32,932,601","46,956,172","59,754,216",,,8,,
EAMD,"6,527,939","9,512,081","21,045,154","39,229,370","45,881,033",,,12,,
HUEB,"3,982,727","9,465,765","14,245,505","17,567,198","29,759,859",,249,269,269,
GCBS,"19,293,533","18,416,878","21,532,212","23,703,873","26,708,570",34,37,34,,
MSAQ,"10,860,730","18,436,410","11,755,526","25,728,499","25,271,650",43,57,77,86,
XDEX,"16,428,000","17,038,000","21,914,000","24,496,000","25,247,000",91,103,97,87,
EEFY,"9,127,066","12,301,340","17,181,000","17,978,000","21,160,000",83,94,98,86,
DGQZ,"11,559,646","12,981,715","15,446,218","20,638,677","20,624,427",173,170,193,198,
XUPX,"6,828,353","10,318,054","11,522,889","13,491,095","17,677,096",,,120,111,
MIVN,"11,487,057","12,138,477","11,361,540","15,945,979","16,505,061",,77,82,67,
UWDH,"1,445,013","3,963,861","7,297,130","9,272,053","15,139,453",,182,205,271,
YOWL,"2,208,504","3,875,698","5,323,966","9,878,837","15,020,867",37,37,37,36,
EMTQ, -   ,"5,171,248","14,228,600","12,835,582","13,447,163",105,109,140,138,
AYGI,"8,458,200","9,567,280","10,729,519","11,809,318","13,030,075",132,123,132,131,
IZWJ,"9,982,975","10,225,713","9,593,589","8,685,648","12,939,476",28,32,37,,
GQQP,"4,563,670","5,974,968","7,535,761","9,699,723","12,462,237",,,4,,
ANCF,"14,155,132","18,822,443","22,352,007","25,722,113","11,958,921",,,23,,
XPIV,"11,710,466","11,655,022","14,564,380","15,065,573","11,777,876",,,28,,
XXIA,"2,580,541","4,554,313","5,965,607","8,824,289","11,362,033",,44,46,64,
CYOI,"3,706,290","5,214,755","7,673,516","9,582,831","11,062,889",72,80,77,,
WZIG,"6,672,000","8,283,087","7,173,239","10,435,167",,52,46,51,27,
EZTZ,"3,860,177","8,537,215","30,134,006","19,248,597","10,587,268",,,,28,
ZWAH,"4,809,398","5,978,325","6,873,296","8,222,317","9,954,975",,,12,,
GTAQ,"1,746,040","2,955,569","5,775,247","8,047,693","9,777,067",42,60,78,94,
JZZA,"8,628,349","8,499,877","9,721,997","8,855,655","9,596,323",123,126,138,149,
WWAF,"3,712,583","6,190,678","7,376,883","8,159,225","9,140,724",,31,43,48,
LUGF,"7,476,897","8,179,828","9,329,505","8,933,303","9,082,955",75,78,72,69,
OZWS,"4,687,005","6,726,921","10,071,346","10,181,193","8,034,739",,,25,,
GBLN,"6,091,075","6,361,337","6,806,226","7,034,649","7,161,414",34,40,41,40,
RKNU,"6,200,739","6,321,491","5,874,394","6,762,788",,431,850,910,1058,
WMGA,"1,313,335","1,862,580","3,033,372","5,083,674","6,321,780",,,40,47,
AZEJ,"640,000","422,594","5,907,502",,,,,20,24,
IKGJ,"3,648,162","4,232,251","5,463,015","5,609,612","6,097,341",,,17,,
KNWT,"4,830,442","5,151,580","5,568,199","5,419,202","5,913,884",100,97,91,88,
BQEU,"277,627","212,939","1,079,098","1,552,753","5,267,982",,,,15,
HCRQ,"5,250,519","5,897,269","5,916,410","5,299,365","5,230,481",126,140,138,,
XBED,"1,532,436","3,476,213","3,015,646","4,444,070",,,,5,,
VEMV,"3,882,621","3,363,894","3,779,892","3,545,533","4,503,085",63,59,57,50,
LWKV,"1,729,194","2,281,797","3,752,299","4,326,392",,98,154,243,343,
TJSM,"4,219,966","4,288,301","4,119,336","4,024,502","4,248,362",103,107,102,,
VXPM,"735,211","1,532,678","3,597,891","4,000,000",,56,72,77,55,
TCNW,"1,218,695","2,642,004","4,084,619","3,469,273","4,075,851",,,3,,
UETJ,"2,104,428","2,533,386","3,033,622","4,000,000","4,000,000",,,22,,
NWTT,,"2,523,364","2,805,990","3,350,673","4,060,974",31,40,40,40,
HSHZ,"6,250,000","4,359,382","3,835,978","3,817,966",,,,13,,
LQXC,"2,677,048","4,406,426","3,588,756",,,,,10,,
WWDW,"1,473,921","3,067,286","3,616,563","3,599,364","3,760,684",,,25,,
RFLW,"1,964,198","2,747,581","3,204,478","3,833,545","3,752,557",,45,44,40,
SWWB,"1,565,626","1,743,295","2,643,489","3,339,690",,19,24,33,37,
YQUU,"3,523,611","2,147,126","2,434,306","3,038,831","3,347,651",57,52,54,,
JNQB,"2,606,712","2,170,280","2,025,932","2,846,491","2,968,042",,,16,,
AYWX,"1,558,601","1,605,172","3,512,060","3,896,000","2,864,000",,,25,,
UXXB,,"439,414","460,524","2,719,459",,129,131,133,124,
XGVQ,"266,108","580,246","993,343","2,685,776","2,761,081",,,,19,
SFXF,"145,722","462,571","3,012,701","3,223,197","2,648,370",45,57,61,56,
OZZY,"371,747","1,103,591","2,074,791","2,565,728",,,28,41,45,
SAAN,"325,669","975,016","996,165","1,280,438","2,602,522",,153,157,157,
HMMP,"4,634,771","6,600,054","3,761,413","2,591,928","2,585,871",,,,13,
JTPA,"460,275","1,264,457","596,309","1,557,518","2,506,557",,,12,,
FNWW,"3,185,000","3,916,000","3,535,000","2,600,000","2,497,000",,95,90,87,
YHDV,"1,545,827","1,838,779","1,958,124","2,225,910","2,398,666",,,18,,
OKPG,"1,680,166","1,628,970","1,876,844","2,072,882","2,385,213",,,25,,
FEWW,"1,110,081","801,667","1,678,221","1,539,008","2,327,327",,,10,,
BSBT,"1,110,230","1,159,075","1,088,014","2,250,000",,,,10,,
TPRU,,"252,962","802,028","1,981,674","2,144,386",,,7,,
ZJJY,"228,363","385,887","610,337","1,031,921","2,089,400",,48,51,50,
MGGE,"4,635,956","8,512,113","6,194,450","2,001,424",,,,,25,
VQVN,"1,882,184","1,006,471","1,467,282","1,682,872","1,920,467",52,52,45,42,
EAGQ,"1,722,388","1,871,504","1,927,840","1,445,718","1,900,831",,39,36,31,
WEBV,"1,701,850","1,795,276","1,977,586","1,802,891",,,,7,,
MSZO,"1,684,557","3,732,665","3,732,665","1,800,214",,,,11,,
QVOT,"990,093","1,465,129","1,753,453","1,741,146",,,,50,56,
YKBR,"1,139,350","1,271,059","1,350,051","1,185,176","1,669,556",,,4,,
FCYI,"168,279","289,600","754,308","921,063","1,624,391",,,14,,
ZCBS,"807,549","1,020,966","1,245,523","1,223,750","1,618,317",,,18,,
RSVA,"727,818","719,761","1,450,446",,,,,11,,
HOLZ,"394,823","463,243","647,139","1,057,095","1,277,318",,,10,,
HTAB,"606,592","710,689","1,154,199","1,134,939","1,265,613",,,,19,
RIPL,"1,770,347","1,705,892","1,878,234","1,786,981","1,257,766",,,7,,
YCIR,"1,000,356","1,121,510","1,148,173",,,,,25,,
WEZQ,"924,854","1,140,553","1,177,325","1,134,152",,,,,3,
CMVW,"730,411","663,011","1,339,354","1,050,164","1,155,704",,,6,,
CPGJ,"550,528","1,073,801","1,179,742",,,,,,20,
INBD,,"594,827","1,034,023","1,037,909","1,085,969",,26,29,33,
AMZR,"1,059,966","1,015,153","1,241,012","1,010,971",,,,,10,
LUDV,, -   ,"110,032","504,916","926,194",,,6,,
GCKQ,"546,659","508,880","765,896","2,679,703","917,854",182,278,367,246,
ONRM,"410,911","628,496","751,684","832,607",,,,8,,
RXVG, -   ,"23,194","149,827","337,713","846,935",,,7,,
